Time	Date	Image Name	Interval [ms]	
15:58:14	08/16/23	10umVertical - 800Hz - 950V - 50usmm -00000	0	
15:58:17	08/16/23	10umVertical - 800Hz - 950V - 50usmm -00001	9547	
15:58:20	08/16/23	10umVertical - 800Hz - 950V - 50usmm -00002	3062	
15:58:23	08/16/23	10umVertical - 800Hz - 950V - 50usmm -00003	3000	
15:58:26	08/16/23	10umVertical - 800Hz - 950V - 50usmm -00004	2938	
15:58:29	08/16/23	10umVertical - 800Hz - 950V - 50usmm -00005	3062	
15:58:32	08/16/23	10umVertical - 800Hz - 950V - 50usmm -00006	2985	
15:58:35	08/16/23	10umVertical - 800Hz - 950V - 50usmm -00007	3000	
15:58:38	08/16/23	10umVertical - 800Hz - 950V - 50usmm -00008	2968	
15:58:41	08/16/23	10umVertical - 800Hz - 950V - 50usmm -00009	3016	
