Time	Date	Image Name	Interval [ms]	
15:24:48	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00000	0	
15:24:51	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00001	13578	
15:24:54	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00002	2938	
15:24:57	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00003	2797	
15:25:00	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00004	3015	
15:25:03	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00005	2922	
15:25:06	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00006	3047	
15:25:09	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00007	3016	
15:25:12	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00008	2984	
15:25:15	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00009	2984	
15:25:18	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00010	3016	
15:25:21	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00011	3016	
15:25:24	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00012	3015	
15:25:27	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00013	2953	
15:25:30	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00014	3063	
15:25:33	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00015	2953	
15:25:36	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00016	2984	
15:25:39	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00017	3047	
15:25:42	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00018	3031	
15:25:45	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00019	2860	
15:25:48	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00020	3000	
15:25:51	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00021	3094	
15:25:54	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00022	2968	
15:25:57	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00023	2953	
15:26:00	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00024	3000	
