element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,tp_ref,line_ref
Ga,1,250.0187,0.0010,,3.34e-01,C+,0.1024345,5.059970,4,6,,T7574,L12180
Ba,1,250.02,0.02,,1.5e-02,E,0.0000000,4.957154,1,3,,T4515,L7361
Fe,2,250.03075,0.00003,3300,2.0e-01,D+,7.9400585,12.8973225,8,6,,T6892c83,L18349c139
Ga,1,250.0714,0.0010,,5.54e-02,C+,0.1024345,5.058910,4,4,,T7574,L12180
Fe,2,250.0801,0.0005,160d?,7.e-03,D,8.0381375,12.9944385,10,10,,T6892c83,L18349c142
Nb,4,250.0904,0.0005,45000,3.5e-01,C+,22.541495,27.497568,11,9,,T2192,L12094
Fe,2,250.092334,0.000012,40000,2.41e+00,B+,4.7317602,9.6878034,6,8,,T6892c83,L18349c139
In,2,250.1002,0.0005,67,6.e-03,D+,13.3484744,18.304359,1,3,,T9131,L3548c121
Fe,1,250.11318,0.00002,5800,6.75e-01,C+,0.0000000,4.95563019,9,7,,T5720,L11631
Fe,2,250.13504,0.00002,14000,1.5e+00,D+,5.60488800,10.5600846,2,2,,T6892c83,L18349c139
Ac,2,250.1391,0.0006,2500,8.e-02,E,0.5876394,5.542750,3,5,,T10463,L7344
Fe,1,250.14235,0.00015,19,1.56e-03,C,0.95815732,5.91320801,7,7,,T5720,L11631
Cs,3,250.1427,0.0004,2300,1.91e-03,,17.1772019,22.1322488,4,2,,T8611,L14869
V,1,250.16139,0.00009,540000,1.22e-01,C+,0.00000000,4.9546751,4,6,,T9399,L15916
Fe,1,250.16939,0.00019,810bl,3.69e-02,C+,0.85899575,5.81351269,11,9,,T5720,L11631
Fe,2,250.1951,0.0005,270d,3.1e-02,D+,5.54876624,10.5027943,8,8,,T6892c83,L18349c142
Zn,2,250.19945,0.00010,1000,1.97e+00,C+,6.010878,10.964809,2,2,,T7870,"L9761,L640"
Fe,2,250.20439,0.00008,1200,2.5e-01,D+,7.9458259,12.8996498,6,6,,T6892c83,L18349c139
Co,2,250.20483,0.00003,1500,1.9e+00,D,6.53206212,11.4858770,3,3,,T6999,L9429c118
Cs,3,250.22539,0.00012,17000,2.85e+00,,22.1141281,27.0675342,4,6,,T8611,L14869
Fe,2,250.23062,0.00008,800,2.5e-01,D+,8.6355591,13.5888631,6,4,,T6892c83,L18349c139
