element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref
Ga,1,250.0187,0.0010,,3.34e-01,C+,826.190,40811.41,,T7574,L12180
Ba,1,250.02,0.02,,1.5e-02,E,0.000,39982.14,,T4515,L7361
Fe,2,250.03075,0.00003,3300,2.0e-01,D+,64040.891,104023.921,,T6892c83,L18349c139
Ga,1,250.0714,0.0010,,5.54e-02,C+,826.190,40802.86,,T7574,L12180
Fe,2,250.0801,0.0005,160d?,7.e-03,D,64831.951,104807.215,,T6892c83,L18349c142
Nb,4,250.0904,0.0005,45000,3.5e-01,C+,181809.42,221782.84,,T2192,L12094
Fe,2,250.092334,0.000012,40000,2.41e+00,B+,38164.220,78137.404,,T6892c83,L18349c139
In,2,250.1002,0.0005,67,6.e-03,D+,107662.707,147634.61,,T9131,L3548c121
Fe,1,250.11318,0.00002,5800,6.75e-01,C+,0.000,39969.853,,T5720,L11631
Fe,2,250.13504,0.00002,14000,1.5e+00,D+,45206.4704,85172.826,,T6892c83,L18349c139
Ac,2,250.1391,0.0006,2500,8.e-02,E,4739.631,44705.290,,T10463,L7344
Fe,1,250.14235,0.00015,19,1.56e-03,C,7728.060,47693.239,,T5720,L11631
Cs,3,250.1427,0.0004,2300,1.91e-03,,138543.477,178508.625,,T8611,L14869
V,1,250.16139,0.00009,540000,1.22e-01,C+,0.000,39962.150,,T9399,L15916
Fe,1,250.16939,0.00019,810bl,3.69e-02,C+,6928.268,46889.142,,T5720,L11631
Fe,2,250.1951,0.0005,270d,3.1e-02,D+,44753.8179,84710.749,,T6892c83,L18349c142
Zn,2,250.19945,0.00010,1000,1.97e+00,C+,48481.00,88437.15,,T7870,"L9761,L640"
Fe,2,250.20439,0.00008,1200,2.5e-01,D+,64087.408,104042.692,,T6892c83,L18349c139
Co,2,250.20483,0.00003,1500,1.9e+00,D,52684.634,92639.846,,T6999,L9429c118
Cs,3,250.22539,0.00012,17000,2.85e+00,,178362.472,218314.386,,T8611,L14869
Fe,2,250.23062,0.00008,800,2.5e-01,D+,69650.481,109601.572,,T6892c83,L18349c139
Fe,2,250.23352,0.00003,2100,4.7e-01,D+,64806.494,104757.143,,T6892c83,L18349c148
Fe,2,250.239272,0.000012,120000,1.43e+00,C+,25981.6451,65931.358,,T6892c83,L18349c139
Cr,1,250.25291,0.00002,56,2.2e-01,D,8095.1842,48042.7187,,T3196,L14866
Cs,3,250.2538,0.0004,880h,2.35e-02,,136693.500,176640.903,,T8611,L14869
Cl,2,250.274,0.010,470,3.1e-01,D,128730.82,168674.98,,"T1619CA,LS",L1617
